university_name,country,teaching_score,international_score,research_score,grad_undergrad_ratio
Brown University,United States of America,59.8,33.4,53.6,
Peking University,China,82.3,51.7,64.1,
Pennsylvania State University,United States of America,53.5,29.5,66.7,46:54:00
Kyoto University,Japan,76.4,21.1,72,
Pohang University of Science and Technology,South Korea,56.4,25,51.9,0.888888889
Boston University,United States of America,60.7,37.2,46.2,58:42:00
University of Southern California,United States of America,65.8,41.1,48.7,52:48:00
King’s College London,United Kingdom,49.8,90,54.2,61:39:00
Ohio State University,United States of America,61.8,42.2,56.2,49:51:00
University of Sydney,Australia,55.4,88.1,65.7,57:43:00
University of Pittsburgh,United States of America,54.3,26.5,53.9,51:49:00
École Normale Supérieure,France,56.6,66.2,33.5,46:54:00
University of Zurich,Switzerland,56.7,87.4,45.9,57:43:00
Hong Kong University of Science and Technology,Hong Kong,51,80.1,58.6,
École Polytechnique,France,50.4,86.1,38.8,0.806944444
University of Massachusetts,United States of America,54,27.3,58.3,49:51:00
McMaster University,Canada,41.9,72,49.9,53:47:00
University of Bristol,United Kingdom,44.2,73.7,47.7,53:47:00
KU Leuven,Belgium,52.5,56.7,64.7,54:46:00
Utrecht University,Netherlands,42.8,58.1,53.2,59:41:00
University of Göttingen,Germany,51.4,48,50.9,51:49:00
Vanderbilt University,United States of America,52.1,26.8,47.6,52:48:00
Tsinghua University,China,74.1,33.4,70.1,32 : 68
Rice University,United States of America,45.9,39.7,38,44:56:00
Heidelberg University,Germany,57.1,62.3,41.5,55:45:00
The University of Queensland,Australia,47.5,80.8,52.3,53:47:00
Emory University,United States of America,48.4,37.3,39.8,56:44:00
Wageningen University and Research Center,Netherlands,50.1,75.9,47.6,56:44:00
Tufts University,United States of America,45.8,41.3,37.4,54:46:00
University of Colorado Boulder,United States of America,39.5,30.8,42.6,45:55:00
Leiden University,Netherlands,45.4,54.4,55.3,59:41:00
Lund University,Sweden,40.4,61.2,58.5,
"Rutgers, the State University of New Jersey",United States of America,51.6,25.3,60,51:49:00
University of Rochester,United States of America,47,45.7,33.5,49:51:00
Durham University,United Kingdom,32.5,75.8,37.9,54:46:00
Pierre and Marie Curie University,France,56.3,66.7,30.5,48:52:00
University of St Andrews,United Kingdom,37.1,89.1,40.2,56:44:00
"University of California, Irvine",United States of America,36.2,36.3,42.3,52:48:00
Uppsala University,Sweden,47.2,59.1,65.1,57:43:00
Technical University of Munich,Germany,50,65.2,37.1,33 : 67
University of Notre Dame,United States of America,42.6,33.1,36.2,44:56:00
Dartmouth College,United States of America,44.8,30.6,38.7,47:53:00
University of Helsinki,Finland,39.3,46.8,54.2,66:34:00
University of Amsterdam,Netherlands,41.7,56.4,54.7,53:47:00
Case Western Reserve University,United States of America,54.2,29.9,40.2,48:52:00
Korea Advanced Institute of Science and Technology (KAIST),South Korea,64.2,29.3,54.6,0.888888889
"University of Maryland, College Park",United States of America,41.1,35.3,43.6,48:52:00
Michigan State University,United States of America,47.4,34,49.6,51:49:00
University of Arizona,United States of America,45.1,28.4,43,52:48:00
Purdue University,United States of America,56.6,52.6,49.4,42:58:00
